角色,音色 ID,语言,模型,接口
Vivi 2.0,zh_female_vv_uranus_bigtts,语种：中文、日文、印尼、墨西哥西班牙语 方言：粤语、上海、河南、北京、天津、四川、陕西、东北,2.0,websocket
小何 2.0,zh_female_xiaohe_uranus_bigtts,语种：中文 方言：粤语、上海、河南、北京、天津、四川、陕西、东北,2.0,websocket
云舟 2.0,zh_male_m191_uranus_bigtts,语种：中文 方言：粤语、上海、河南、北京、天津、四川、陕西、东北,2.0,websocket
小天 2.0,zh_male_taocheng_uranus_bigtts,语种：中文 方言：粤语、上海、河南、北京、天津、四川、陕西、东北,2.0,websocket
刘飞 2.0,zh_male_liufei_uranus_bigtts,中文,2.0,websocket
魅力苏菲 2.0,zh_female_sophie_uranus_bigtts,中文,2.0,websocket
清新女声 2.0,zh_female_qingxinnvsheng_uranus_bigtts,中文,2.0,websocket
知性灿灿 2.0,zh_female_cancan_uranus_bigtts,中文,2.0,websocket
撒娇学妹 2.0,zh_female_sajiaoxuemei_uranus_bigtts,中文,2.0,websocket
甜美小源 2.0,zh_female_tianmeixiaoyuan_uranus_bigtts,中文,2.0,websocket
甜美桃子 2.0,zh_female_tianmeitaozi_uranus_bigtts,中文,2.0,websocket
爽快思思 2.0,zh_female_shuangkuaisisi_uranus_bigtts,中文,2.0,websocket
佩奇猪 2.0,zh_female_peiqi_uranus_bigtts,中文,2.0,websocket
邻家女孩 2.0,zh_female_linjianvhai_uranus_bigtts,中文,2.0,websocket
少年梓辛 2.0,zh_male_shaonianzixin_uranus_bigtts,中文,2.0,websocket
猴哥 2.0,zh_male_sunwukong_uranus_bigtts,中文,2.0,websocket
Tina老师 2.0,zh_female_yingyujiaoxue_uranus_bigtts,中文、英式英语,2.0,websocket
暖阳女声 2.0,zh_female_kefunvsheng_uranus_bigtts,中文,2.0,websocket
儿童绘本 2.0,zh_female_xiaoxue_uranus_bigtts,中文,2.0,websocket
大壹 2.0,zh_male_dayi_uranus_bigtts,中文,2.0,websocket
黑猫侦探社咪仔 2.0,zh_female_mizai_uranus_bigtts,中文,2.0,websocket
鸡汤女 2.0,zh_female_jitangnv_uranus_bigtts,中文,2.0,websocket
魅力女友 2.0,zh_female_meilinvyou_uranus_bigtts,中文,2.0,websocket
流畅女声 2.0,zh_female_liuchangnv_uranus_bigtts,中文,2.0,websocket
儒雅逸辰 2.0,zh_male_ruyayichen_uranus_bigtts,中文,2.0,websocket
Tim,en_male_tim_uranus_bigtts,美式英语,2.0,websocket
Dacey,en_female_dacey_uranus_bigtts,美式英语,2.0,websocket
Stokie,en_female_stokie_uranus_bigtts,美式英语,2.0,websocket
